/*********************************************
 * OPL 12.10.0.0 Data
 * Author: Jacopo
 * Creation Date: 23 lug 2022 at 18:09:28
 *********************************************/
nUnita = 10;
nPeriodi = 24;

D = [800, 850, 950, 1050, 1100, 1200, 1250, 1300, 1400, 1500, 1550, 1600,
		 1500, 1400, 1300, 1150, 1100, 1200, 1300, 1500, 1400, 1200, 1000, 900];

unita = #[
	 1  : <1000, 16.19, 0.00048, 150, 455,  8, 8, 8,  9000>,
	 2  : <970,  17.26, 0.00031, 150, 455,  8, 8, 8, 10000>,
	 3  : <700,  16.60, 0.00200,  20, 130, -5, 5, 5,  1100>,
	 4  : <680,  16.50, 0.00211,  20, 130, -5, 5, 5,  1120>,
	 5  : <450,  19.70, 0.00398,  25, 162, -6, 6, 6,  1800>,
	 6  : <370,  22.26, 0.00712,  20,  80, -3, 3, 3,   340>,
	 7  : <480,  27.74, 0.00079,  25,  85, -3, 3, 3,   520>,
	 8  : <660,  25.92, 0.00413,  55,  55, -1, 1, 1,    60>,
	 9  : <665,  27.27, 0.00222,  55,  55, -1, 1, 1,    60>,
	10 :  <670,  27.79, 0.00173,  55,  55, -1, 1, 1,    60>
]#;
